date,cu_regime,guidance_status,throughput_tpd,cu_feed_ppm,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,expected_nacn_tpd_band_regime,expected_specific_nacn_band_regime,expected_free_cn_band_regime,analogue_count,expected_nacn_tpd_band_analog,expected_specific_nacn_band_analog,expected_free_cn_band_analog,guidance_comment
2025-03-28,Low Cu,Normal,12348.484799169957,271.2283059988927,741.21875,548.65625,3.42375,2.87509375,1.5524171841138414,19.17,82.89612973478305,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.9,0.77 to 1.38,453 to 637,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-29,Low Cu,Normal,8816.2657,359.51598341658024,704.375,743.0625,3.5715625,2.8285,2.188568341355683,19.295,84.42413811079263,6.8 to 15.0,0.74 to 1.47,427 to 693,30,7.2 to 17.1,0.85 to 1.74,528 to 695,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-30,Low Cu,Normal,13566.1328,213.82164369909617,696.75,647.21875,3.4906249999999996,2.8434062499999997,0.9203064855741351,12.485,83.61161892415379,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.9,0.77 to 1.46,459 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-03-31,Low Cu,Normal,13311.8634,271.91084867551064,715.3125,536.40625,3.4328125000000003,2.89640625,0.9378852249941206,12.485,82.66655076922775,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.69 to 1.34,455 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-01,Low Cu,Normal,13525.0291,360.7364765916655,702.375,696.625,3.5565625,2.8599375,1.1748588400449356,15.89,84.07884389508081,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.77 to 1.38,463 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-02,Low Cu,Normal,15736.9817,135.92510494327271,704.5,790.4375,3.7259375,2.9355,1.2260928027894955,19.295,84.46529554983584,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.77 to 1.38,483 to 654,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-03,Low Cu,Normal,12210.6666,190.45207996474477,696.9285714285714,684.3214285714287,3.5835714285714286,2.89925,0.7436121464490726,9.08,85.14990668531553,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.69 to 1.33,504 to 685,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-04,Low Cu,Normal,15332.636,355.68691999882185,631.96875,613.5625,3.2384375,2.624875,0.5922008453080083,9.08,84.80245341434679,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 17.9,0.75 to 1.29,459 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-05,Low Cu,Normal,12030.0015,307.42295821090653,590.4642857142858,482.3571428571429,2.9503571428571425,2.4679999999999995,1.037821981983959,12.485,83.22946437186141,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.75 to 1.29,455 to 645,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-06,Low Cu,Normal,15298.2236,219.9485444592898,533.65625,620.3125,2.9065625,2.28625,0.8161078257478208,12.485,84.2854365641902,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 17.9,0.68 to 1.25,471 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-07,Low Cu,Normal,14136.8051,275.0706001196097,519.40625,779.90625,3.0596875000000003,2.27978125,1.0437294633141685,14.754999999999999,86.97724728480924,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 17.4,0.68 to 1.25,539 to 677,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-08,Low Cu,Normal,13985.7729,178.48780318533633,504.6875,616.0,2.8134375,2.1974375,0.9738467868300651,13.620000000000001,83.81779397594387,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 17.4,0.68 to 1.22,530 to 654,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-09,Low Cu,Normal,12055.8108,333.2702770853023,510.625,533.15625,2.7003125,2.1671562499999997,1.2238911380394257,14.754999999999999,85.74595954472204,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 15.6,0.75 to 1.15,463 to 645,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-10,Low Cu,Normal,8329.712599999999,309.3605996962288,494.625,635.40625,2.7703124999999997,2.13490625,1.6351104358630575,13.62,82.13208002013326,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 16.0,0.79 to 1.38,486 to 654,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-11,Low Cu,Normal,2251.1445,118.27698066126015,469.5,880.75,3.03125,2.1505,2.5209399041243246,5.675,88.91932147186166,6.8 to 15.0,0.74 to 1.47,427 to 693,30,7.2 to 16.0,0.85 to 1.82,512 to 706,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-13,Low Cu,Normal,711.1895999999999,118.27698066126015,510.25,794.0,3.0425000000000004,2.2485000000000004,0.0,0.0,-2.05596856412066e-14,6.8 to 15.0,0.74 to 1.47,427 to 693,30,6.3 to 16.0,0.98 to 1.98,489 to 706,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Recovery is in the lower historical range.
2025-04-14,Low Cu,Normal,11734.6284,118.27698066126017,484.0,769.28125,2.9468749999999995,2.1775937499999993,1.2573896247110814,14.754999999999999,82.3755807250577,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 16.0,0.75 to 1.25,557 to 692,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-15,Low Cu,Normal,14333.7205,229.99683773161348,494.5,666.75,2.8784375,2.2116875,0.4751034457522735,6.81,85.6878158342691,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 19.8,0.84 to 1.52,459 to 622,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-16,Low Cu,Normal,13704.738299999999,217.73810809914346,500.0,638.40625,2.8912499999999994,2.2528437499999994,0.57972650232949,7.945,83.33942003427983,6.8 to 15.0,0.74 to 1.47,427 to 693,30,11.2 to 16.0,0.81 to 1.25,463 to 637,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-17,Low Cu,Normal,14500.0471,516.8611259652645,501.6875,533.78125,2.743125,2.20934375,1.017582901506575,14.754999999999999,83.60259091299793,6.8 to 15.0,0.74 to 1.47,427 to 693,30,11.2 to 17.4,0.79 to 1.25,471 to 640,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-18,Low Cu,Normal,12436.259,330.7943768151136,498.34375,497.9375,2.5475000000000003,2.0495625000000004,0.6388577143657108,7.945,83.1656192383404,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.6 to 16.8,0.79 to 1.29,459 to 619,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-19,Low Cu,Normal,10491.0025,291.37483848297245,561.40625,412.5,2.5700000000000003,2.1575,1.406443283184805,14.754999999999999,80.64397969240865,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.0 to 19.3,0.82 to 1.59,455 to 632,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-20,Low Cu,Normal,2994.8347,558.754282856071,641.125,237.875,2.49125,2.253375,1.1369575756551773,3.405,88.1168714649473,6.8 to 15.0,0.74 to 1.47,427 to 693,30,6.2 to 14.5,0.86 to 1.96,467 to 695,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range.
2025-04-21,Low Cu,Normal,4167.724,597.9498370155741,666.3,337.85,2.685,2.34715,1.0893235732500521,4.54,83.55355225665019,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 14.8,0.76 to 1.55,436 to 601,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-22,Low Cu,Normal,6041.288,854.0275444964363,738.6999999999999,488.35,3.135,2.6466499999999997,2.066612285327235,12.485,80.64780907953609,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 14.5,0.78 to 1.52,452 to 644,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-23,Low Cu,Normal,11184.029999999999,1071.6948825021198,841.625,309.5625,3.1634375,2.853875,1.420775874170581,15.89,79.72836613244509,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 14.5,0.75 to 1.2,452 to 601,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-24,Low Cu,Normal,9194.802099999999,464.8091331502124,835.25,635.1785714285713,3.633928571428572,2.9987500000000007,3.4563005983565436,31.78,81.0793957127767,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 14.8,0.73 to 1.23,506 to 677,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Specific NaCN is already in the upper historical range.
2025-04-25,Low Cu,Normal,13004.0636,169.95590517085165,788.0,950.25,3.893928571428572,2.943678571428572,1.2219257371211258,15.89,79.12251668880633,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 14.8,0.68 to 1.22,592 to 696,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-26,Low Cu,Normal,13661.7228,230.7872890937024,760.09375,793.1875,3.6587500000000004,2.8655625000000002,0.9138671734724408,12.485,80.24769766071822,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 15.9,0.75 to 1.23,559 to 677,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-27,Low Cu,Normal,13618.7073,275.1598545248227,814.46875,509.0625,3.4853125,2.9762500000000003,0.6667299472689305,9.08,82.2991723053314,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 15.9,0.75 to 1.22,506 to 640,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-04-28,Medium Cu,Normal,13079.5797,364.33497437038193,873.8125,432.3125,3.5690625000000002,3.13675,0.6942119095768804,9.08,79.54644417605061,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 21.8,1.17 to 1.77,407 to 642,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-04-29,Medium Cu,Normal,5328.1866,465.41520467836256,943.6666666666667,321.6666666666667,3.586666666666667,3.265,1.065090325477715,5.675,77.50422303709004,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 24.0,1.23 to 2.14,364 to 517,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-04-30,Medium Cu,Normal,7993.2357999999995,442.51158860453893,966.5416666666665,290.7916666666667,3.494583333333333,3.203791666666666,1.135960482987378,9.08,73.83555565471936,12.8 to 29.4,1.29 to 2.81,347 to 597,30,8.6 to 20.0,0.92 to 1.77,356 to 514,Medium-Cu regime: operate near historical median band and monitor Cu trend closely. Free CN is in the lower historical range.
2025-05-01,Medium Cu,Normal,7358.5181999999995,196.33338916449335,913.375,528.4375,3.7675,3.2390625,2.6221311785299384,19.295,74.99396940512024,12.8 to 29.4,1.29 to 2.81,347 to 597,30,8.6 to 20.0,0.92 to 1.95,364 to 651,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-05-02,Medium Cu,Normal,4161.9886,88.97981497056352,887.9375,673.875,3.8937500000000003,3.219875,4.0905926556358185,17.025,76.01836904619475,12.8 to 29.4,1.29 to 2.81,347 to 597,30,8.6 to 19.8,0.92 to 1.95,393 to 651,Medium-Cu regime: operate near historical median band and monitor Cu trend closely. Specific NaCN is already in the upper historical range.
2025-05-03,Low Cu,Normal,5786.0626999999995,81.4565591644668,808.6875,774.3125,3.7925,3.0181875,1.3731271871630428,7.945,71.00519328643169,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 15.6,0.92 to 1.52,514 to 696,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-04,Low Cu,Normal,11009.1003,261.413103894742,759.65625,863.53125,3.7643750000000002,2.9008437500000004,0.30928957927651907,3.405,75.91945892398515,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 15.9,0.75 to 1.26,617 to 774,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-05,Low Cu,Normal,4127.5761999999995,97.91873589164787,761.6666666666667,709.1666666666667,3.6133333333333333,2.904166666666667,0.5499595622244358,2.27,84.90305952421906,6.8 to 15.0,0.74 to 1.47,427 to 693,30,4.4 to 14.5,0.86 to 2.06,493 to 735,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-06,Low Cu,Normal,9335.3194,425.68725099601585,767.6875,554.28125,3.4303125,2.87603125,0.9726501698485003,9.08,80.41261965618543,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 15.6,0.77 to 1.33,491 to 640,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-07,Low Cu,Normal,13092.0064,631.6313332407991,796.34375,404.96875,3.25875,2.85378125,1.1270235859340856,14.754999999999999,76.26390757554833,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 16.8,0.77 to 1.34,455 to 601,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-08,Low Cu,Normal,12760.704,427.6787080237867,795.46875,542.4375,3.48625,2.9438125,2.3125683347877986,29.51,76.01091890529585,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 15.9,0.75 to 1.22,486 to 619,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-09,Low Cu,Normal,14524.74,186.10951912238897,795.625,631.40625,3.6425,3.01109375,1.2502805557965238,18.16,74.21171807052367,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 16.7,0.69 to 1.22,530 to 647,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-10,Low Cu,Normal,12814.47,754.7781215567593,816.875,495.40625,3.4987500000000002,3.0033437500000004,1.4405589930757965,18.46,76.34559683817182,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.6 to 17.4,0.79 to 1.26,456 to 615,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-11,Low Cu,Normal,13439.429999999998,468.8361562541756,861.0,427.25,3.5493750000000004,3.1221250000000005,1.1823418106273853,15.889999999999999,75.19664917592239,6.8 to 15.0,0.74 to 1.47,427 to 693,30,11.2 to 17.9,0.79 to 1.33,451 to 612,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-12,Low Cu,Normal,13684.949999999999,453.97857706459786,870.34375,736.6875,4.0015625,3.2648750000000004,1.643411192587478,22.490000000000002,76.75728936155862,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 15.9,0.67 to 1.22,544 to 694,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-13,Low Cu,Normal,14596.349999999999,331.11169130163523,869.09375,636.4375,3.876875,3.2404375,0.8553508240073718,12.485,79.75446696483256,6.8 to 15.0,0.74 to 1.47,427 to 693,30,11.2 to 18.1,0.79 to 1.24,515 to 640,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-14,Medium Cu,Normal,14942.3498,375.4005195117172,910.75,369.90625,3.6346875,3.26478125,0.987461824779393,14.754999999999999,78.13175793595248,12.8 to 29.4,1.29 to 2.81,347 to 597,30,12.8 to 23.6,1.06 to 1.77,407 to 541,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-05-15,Medium Cu,Normal,9020.622800000001,568.8906021872382,961.3333333333334,312.7083333333333,3.587916666666667,3.275208333333334,1.2582279795581297,11.35,78.27186998322523,12.8 to 29.4,1.29 to 2.81,347 to 597,30,9.1 to 20.0,0.99 to 1.77,344 to 486,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-05-16,Medium Cu,Normal,12368.2594,635.440411558553,1018.46875,301.5,3.781875,3.480375,1.376507352360349,17.025,72.29042345020486,12.8 to 29.4,1.29 to 2.81,347 to 597,30,12.7 to 21.8,1.15 to 1.77,356 to 495,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-05-17,Medium Cu,Normal,11880.1998,448.63815222431253,984.78125,371.59375,3.7975,3.4259062499999997,2.006279389341583,23.835,70.27096840079146,12.8 to 29.4,1.29 to 2.81,347 to 597,30,11.5 to 20.0,0.99 to 1.74,344 to 514,Medium-Cu regime: operate near historical median band and monitor Cu trend closely. Recovery is in the lower historical range.
2025-05-18,Medium Cu,Normal,9736.694800000001,766.4521424755919,895.7142857142857,536.4285714285714,3.7960714285714285,3.259642857142857,1.3988319732482526,13.620000000000001,77.34043865696044,12.8 to 29.4,1.29 to 2.81,347 to 597,30,11.5 to 20.0,0.99 to 2.01,370 to 629,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-05-19,Low Cu,Normal,10213.448,206.03802708837634,842.15625,531.625,3.64375,3.112125,1.333535942024672,13.620000000000001,77.33009919882161,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 18.2,0.78 to 1.52,459 to 640,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-20,Low Cu,Normal,8501.4706,268.44470022489367,791.03125,770.09375,3.8403124999999996,3.0702187499999996,1.2015568224161122,10.215,81.08036591077038,6.8 to 15.0,0.74 to 1.47,427 to 693,30,7.9 to 15.7,0.76 to 1.66,512 to 705,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-21,Low Cu,Normal,10873.9302,52.33898767374542,649.53125,670.40625,3.2487499999999994,2.5783437499999993,1.1417215093030484,12.415,78.56167810804722,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 18.2,0.76 to 1.59,501 to 662,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-22,Low Cu,Normal,7498.9698,297.2472447616555,700.46875,647.0625,3.3928125,2.7457499999999997,1.7082346431105775,12.809999999999999,80.3453161498058,6.8 to 15.0,0.74 to 1.47,427 to 693,30,7.1 to 14.5,0.76 to 1.66,512 to 709,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-23,Low Cu,Normal,10559.2354,348.8844426658534,869.09375,372.28125,3.5028125,3.13053125,1.2122089824799247,12.8,78.38405680328306,6.8 to 15.0,0.74 to 1.47,427 to 693,30,10.7 to 19.1,0.98 to 1.52,436 to 636,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-24,Medium Cu,Normal,11418.5218,938.4065608640244,994.09375,620.96875,4.225937500000001,3.6049687500000007,2.802464325986574,32.0,79.33243130752884,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 24.0,1.22 to 1.96,429 to 651,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
2025-05-25,Medium Cu,Normal,12916.6198,713.3370216975485,1090.59375,649.53125,4.5878125,3.93828125,1.579360569241188,20.4,67.8208281002188,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.2 to 24.0,1.22 to 1.96,437 to 651,Medium-Cu regime: operate near historical median band and monitor Cu trend closely. Recovery is in the lower historical range.
2025-05-26,Low Cu,Normal,13391.4886,339.7864305037968,872.0,1070.28125,4.4759375,3.40565625,2.119256555242111,28.38,75.79129032553192,6.8 to 15.0,0.74 to 1.47,427 to 693,30,10.7 to 17.1,0.89 to 1.67,594 to 763,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-27,Low Cu,Normal,14599.233,107.76136387352385,827.34375,834.875,4.140625,3.3057499999999997,0.7774381023989411,11.35,76.3679668664902,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.4 to 17.1,0.69 to 1.66,548 to 699,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-28,Low Cu,Normal,13993.191200000001,314.04873213182145,873.4375,869.5625,4.310625,3.4410625,0.32194228861819596,4.505,72.76952778222568,6.8 to 15.0,0.74 to 1.47,427 to 693,30,10.5 to 18.8,0.83 to 1.7,582 to 763,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-29,Low Cu,Normal,12120.836000000001,350.04785597968066,825.09375,439.75,3.6887499999999998,3.2489999999999997,0.5560672547669153,6.74,79.2276212410461,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 19.1,0.99 to 1.52,453 to 640,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-05-30,Low Cu,Normal,2310.9506,122.85647530040052,842.75,275.75,3.45,3.1742500000000002,0.9822797596798477,2.27,80.46470525710274,6.8 to 15.0,0.74 to 1.47,427 to 693,30,4.0 to 13.4,0.84 to 1.99,443 to 695,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range.
2025-05-31,Low Cu,Watch,1989.3774,879.7101449275364,822.0,215.75,3.22875,3.013,0.0,0.0,64.16127627182887,6.8 to 15.0,0.74 to 1.47,427 to 693,30,4.0 to 12.8,0.82 to 1.99,419 to 689,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range. Recovery is in the lower historical range.
2025-06-01,Low Cu,Normal,11750.7414,289.0881347000696,759.78125,240.625,3.105625,2.8649999999999998,0.5650707282180509,6.64,71.13944316550285,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 17.8,0.86 to 1.47,427 to 552,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range.
2025-06-02,Low Cu,Normal,11515.7456,603.6545348539626,745.5,257.25,3.0293750000000004,2.7721250000000004,0.5852855936657718,6.74,79.06604429243185,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 17.8,0.86 to 1.47,416 to 552,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range.
2025-06-03,Low Cu,Normal,5447.7164,521.4191616766466,778.8125,316.9375,3.19625,2.8793125,1.028871473559086,5.605,87.41950163124159,6.8 to 15.0,0.74 to 1.47,427 to 693,30,4.1 to 13.4,0.63 to 1.56,346 to 614,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-07,Low Cu,Normal,6808.1939999999995,253.88590350572875,821.1428571428572,436.2857142857143,3.2380952380952386,2.801809523809524,1.1336339710648669,7.718,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,5.9 to 13.4,0.76 to 1.56,331 to 630,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-08,Low Cu,Normal,5807.217,169.8758334564733,777.6666666666666,927.6190476190477,3.861666666666667,2.934047619047619,2.1499110503361596,12.485,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 15.6,0.79 to 1.64,592 to 779,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-09,Low Cu,Normal,13405.145999999999,255.08772313292292,803.5416666666666,1129.625,4.233750000000001,3.1041250000000007,1.0160277254719943,13.62,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 17.1,0.69 to 1.26,622 to 779,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-10,Low Cu,Normal,8279.136,316.5415427765736,818.7142857142858,854.3333333333334,3.874285714285714,3.0199523809523807,0.9596411992749001,7.945,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 15.9,0.75 to 1.34,592 to 779,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-11,Low Cu,Normal,4665.735,319.7262876688476,800.25,691.7916666666666,3.826666666666667,3.1348750000000005,0.9580484103790722,4.47,81.19201412506494,6.8 to 15.0,0.74 to 1.47,427 to 693,30,3.6 to 13.4,0.98 to 1.82,525 to 763,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-12,Low Cu,Normal,12810.18,248.06485174197184,762.15625,689.9375,3.743125,3.0531875,0.17447061633794372,2.235,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 15.9,0.75 to 1.22,563 to 761,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-13,Low Cu,Normal,7957.428,121.275907920342,737.5416666666667,500.70833333333337,3.4683333333333337,2.9676250000000004,0.985242970467342,7.84,79.01234635640773,6.8 to 15.0,0.74 to 1.47,427 to 693,30,6.7 to 13.6,0.82 to 1.56,443 to 662,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-14,Low Cu,Normal,10302.408,320.02505867037206,715.5625,430.65625,3.289375,2.85871875,0.764384404112126,7.875,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.1 to 15.9,0.82 to 1.44,436 to 579,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-15,Low Cu,Normal,12571.806,187.41951482494264,660.40625,435.75,3.0878125,2.6520625,0.6264016482596056,7.875,78.84683268001929,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.6 to 16.7,0.81 to 1.24,471 to 601,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-16,Low Cu,Normal,13798.56,312.78254424065096,662.21875,360.5625,2.99125,2.6306875,0.3239468466274742,4.47,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,9.6 to 16.7,0.75 to 1.24,454 to 619,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-17,Low Cu,Normal,5145.389999999999,406.7069851652845,679.75,229.4375,2.82625,2.5968125,0.8687388128013621,4.47,84.78864031343831,6.8 to 15.0,0.74 to 1.47,427 to 693,30,4.1 to 12.7,0.63 to 1.33,322 to 552,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range.
2025-06-18,Low Cu,Normal,10025.274,237.11234727544826,635.1666666666666,288.7083333333333,2.7299999999999995,2.4412916666666664,1.3585663593832948,13.620000000000001,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.3 to 15.9,0.76 to 1.44,428 to 547,Low-Cu regime: lower reagent band may be adequate if free CN remains stable. Free CN is in the lower historical range.
2025-06-19,Low Cu,Normal,13566.0,140.75007455733007,688.03125,455.1875,3.1479375,2.6927499999999998,1.6733008993070912,22.7,74.49063241230982,6.8 to 15.0,0.74 to 1.47,427 to 693,30,11.2 to 16.7,0.79 to 1.26,471 to 636,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-20,Low Cu,Normal,13686.155999999999,573.0071625884314,735.875,497.4375,3.2925,2.7950625000000002,0.8826437459868206,12.08,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,11.2 to 16.7,0.79 to 1.26,471 to 636,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-21,Low Cu,Normal,8898.327,339.6262235458516,793.5875000000001,399.36249999999995,3.30475,2.9053875,1.3727299524955647,12.215,75.63443160220015,6.8 to 15.0,0.74 to 1.47,427 to 693,30,8.0 to 15.9,0.85 to 1.37,462 to 630,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-22,Low Cu,Normal,13472.007,1911.566435106255,867.625,343.65625,3.3696875000000004,3.0260312500000004,1.6849753715240796,22.7,,6.8 to 15.0,0.74 to 1.47,427 to 693,30,12.0 to 18.1,0.83 to 1.4,432 to 549,Low-Cu regime: lower reagent band may be adequate if free CN remains stable.
2025-06-23,Medium Cu,Normal,10319.85,1850.95377632666,1039.642857142857,486.0952380952381,4.2664285714285715,3.7803333333333335,3.0795021245463836,31.78,81.12629365829704,12.8 to 29.4,1.29 to 2.81,347 to 597,30,15.4 to 24.4,1.23 to 2.14,344 to 530,Medium-Cu regime: operate near historical median band and monitor Cu trend closely.
